1,	Jonas Vingegaard, Team Jumbo - Visma,	79h 33' 20''
2,	Tadej Pogacar, UAE Team Emirates,	+2' 43''
3,	Geraint Thomas, INEOS Grenadiers,	+7' 22''
4,	David Gaudu, Groupama - FDJ,	+13' 39''
5,	Aleksandr Vlasov, BORA - HANSGROHE,	+15' 46''
6,	Nairo Quintana, Team Arkéa - Samsic,	+16' 33''
7,	Romain Bardet, Team DSM,	+18' 11''
8,	Louis Meintjes, Intermarché - Wanty - Gobert Matériaux,	+18' 44''
9,	Alexey Lutsenko, ASTANA PRO,	+22' 56''
10	Adam Yates, INEOS Grenadiers,	+24' 52''
11,	Valentin Madouas, Groupama - FDJ,	+35' 59''
12,	Bob Jungels, AG2R Citroën,	+45' 23''
13,	Neilson Powless, EF Education - EasyPost,	+46' 57''
14,	Luis León Sánchez, Bahrain Victorious,	+49' 18''
15,	Thibaut Pinot, Groupama - FDJ,	+50' 25''
16,	Patrick Konrad, BORA - HANSGROHE,	+56' 54''
17,	Tom Pidcock, INEOS Grenadiers,	+1h 01' 15''
18,	Sepp Kuss, Team Jumbo - Visma,	+1h 02' 29''
19,	Dylan Teuns, Bahrain Victorious,	+1h 11' 30''
20	Brandon McNulty, UAE Team Emirates,	+1h 31' 19''
21	Matteo Jorgenson, MOVISTAR,	+1h 33' 57''
22	Wout van Aert, Team Jumbo - Visma,	+1h 35' 55''
23	Nicholas Schultz, Team BikeExchange,	+1h 39' 41''
24	Hugo Houle, Israel - Premier Tech,	+1h 42' 14''
25	Bauke Mollema, Trek-Segafredo,	+1h 45' 57''
26	Rigoberto Urán, EF Education - EasyPost,	+1h 48' 18''
27	Carlos Verona, MOVISTAR,	+1h 53' 03''
28	Andreas Leknessund, Team DSM,	+1h 57' 31''
29	Gregor Mühlberger, MOVISTAR,	+1h 59' 03''
30,	Daniel Martínez, INEOS Grenadiers,	+2h 00' 55''
31,	Simone Velasco,cASTANA PRO,	+2h 04' 24''
32,	Dylan van Baarle, INEOS Grenadiers,	+2h 15' 34''
33,	Stefan Küng, Groupama - FDJ,	+2h 15' 46''
34,	Sebastian Schönberger, B&B Hotels - KTM,	+2h 16' 55''
35,	Michael Storer, Groupama - FDJ,	+2h 23' 15''
36,	Tiesj Benoot, Team Jumbo - Visma,	+2h 23' 34''
37,	Tony Gallopin, Trek-Segafredo,	+2h 25' 11''
38,	Chris Hamilton, Team DSM,	+2h 25' 38''
39,	Andrey Zeits, ASTANA PRO,	+2h 26' 22''
40,	Ion Izagirre, COFIDIS Solutions Crédits,	+2h 30' 08''
41,	Alberto Bettiol, EF Education - EasyPost,	+2h 34' 44''
42,	Lukasz Owsian, Team Arkéa - Samsic,	+2h 37' 48''
43,	Joe Dombrowski, ASTANA PRO,	+2h 37' 51''
44,	Georg Zimmerman, Intermarché - Wanty - Gobert Matériaux,	+2h 39' 40''
45,	Simon Geschke, COFIDIS Solutions Crédits,	+2h 41' 23''
46,	Maximilian Schachmann, BORA - HANSGROHE,	+2h 44' 04''
47,	Kobe Goossens, Intermarché - Wanty - Gobert Matériaux,	+2h 46' 07''
48,	Kévin Geniets, Groupama - FDJ,	+2h 48' 08''
49,	Jonathan Castroviejo, INEOS Grenadiers,	+2h 51' 34''
50,	Maxime Bouet, Team Arkéa - Samsic,	+2h 51' 56''
51,	Andrea Pasqualon, Intermarché - Wanty - Gobert Matériaux,	+2h 56' 22''
52,	Nélson Oliveira, MOVISTAR,	+2h 57' 39''
53,	Felix Großschartner, BORA - HANSGROHE,	+2h 58' 15''
54,	Benjamin Thomas, COFIDIS Solutions Crédits,	+3h 03' 38''
55,	Fred Wright, Bahrain Victorious,	+3h 04' 08''
56,	Nils Politt, BORA - HANSGROHE,	+3h 10' 29''
57,	Pierre Latour, TotalEnergies,	+3h 12' 06''
58,	Edvald Boasson Hagen, TotalEnergies,	+3h 12' 58''
59,	Giulio Ciccone, Trek-Segafredo,	+3h 16' 44''
60,	Silvan Dillier, Alpecin - Deceuninck,	+3h 17' 17''
61,	Toms Skujinš, Trek-Segafredo,	+3h 17' 28''
62,	Antoine Duchesne, Groupama - FDJ,	+3h 18' 18''
63,	Pierre-Luc Périchon, COFIDIS Solutions Crédits,	+3h 25' 32''
64,	Martijn Tusveld, Team DSM,	+3h 28' 03''
65,	Stan Dewulf, AG2R Citroën,	+3h 29' 18''
66,	Franck Bonnamour, B&B Hotels, - KTM	+3h 30' 36''
67,	Quinn Simmons, Trek-Segafredo,	+3h 30' 44''
68,	Mathieu Burgaudeau, TotalEnergies,	+3h 32' 06''
69,	Pierre Rolland, B&B Hotels - KTM,	+3h 34' 33''
70,	Connor Swift, Team Arkéa - Samsic,	+3h 35' 05''
71,	Kristian Sbaragli, Alpecin - Deceuninck,	+3h 36' 18''
72,	Jan Tratnik, Bahrain Victorious,	+3h 37' 31''
73,	Andreas Kron, Lotto - Soudal,	+3h 37' 37''
74,	Matis Louvel, Team Arkéa - Samsic,	+3h 40' 06''
75,	Christophe Laporte, Team Jumbo - Visma,	+3h 40' 10''
76,	Philippe Gilbert, Lotto - Soudal,	+3h 41' 54''
77,	Guy Niv,  Israel - Premier Tech,	+3h 44' 22''
78,	Michael Matthews, Team BikeExchange,	+3h 45' 59''
79,	Krists Neilands, Israel - Premier Tech,	+3h 46' 16''
80,	Cyril Barthe, B&B Hotels - KTM,	+3h 48' 34''
81,	Jasper Stuyven, Trek-Segafredo,	+3h 49' 28''
82,	Hugo Hofstetter, Team Arkéa - Samsic	, +3h 49' 57''
83,	Stefan Bissegger, EF Education - EasyPost	, +3h 51' 46''
84,	Anthony Perez, COFIDIS Solutions Crédits	, +3h 52' 20''
85,	Amaury Capiot, Team Arkéa - Samsic	, +3h 52' 55''
86,	Matej Mohoric, Bahrain Victorious	, +3h 52' 57''
87,	Marco Haller, BORA - HANSGROHE	, +3h 53' 05''
88,	Olivier Le Gac, Groupama - FDJ	, +3h 56' 05''
89,	Alexis Gougeard, B&B Hotels - KTM	, +3h 58' 15''
90,	Owain Doull, EF Education - EasyPost	, +3h 58' 19''
91,	Benoît Cosnefroy, AG2R Citroën	, +3h 58' 31''
92,	Jasper Philipsen, Alpecin - Deceuninck	, +3h 59' 10''
93,	Sven Erik Bystrøm, Intermarché - Wanty - Gobert Matériaux	, +3h 59' 19''
94,	Jonas Rutsch, EF Education - EasyPost	, +3h 59' 21''
95,	Filippo Ganna, INEOS Grenadiers	, +4h 03' 31''
96,	Mattia Cattaneo, Quick-Step - Alpha Vinyl Team	, +4h 03' 52''
97,	Aliaksandr Riabushenko, ASTANA PRO	, +4h 04' 20''
98,	Andrea Bagioli, Quick-Step - Alpha Vinyl Team	, +4h 10' 00''
99,	Mads Pedersen, Trek-Segafredo	, +4h 11' 50''
100,	Alberto Dainese, Team DSM	, +4h 14' 14''
101,	Luka Mezgec, Team BikeExchange	, +4h 16' 13''
102,	Alexander Kristoff, Intermarché - Wanty - Gobert Matériaux	, +4h 17' 14''
103,	Luca Mozzato, B&B Hotels - KTM	, +4h 18' 54''
104,	Alexander Krieger, Alpecin - Deceuninck	, +4h 19' 42''
105,	John Degenkolb, Team DSM	, +4h 23' 05''
106,	Luke Rowe, INEOS Grenadiers	, +4h 26' 40''
107,	Florian Sénéchal, Quick-Step - Alpha Vinyl Team	, +4h 28' 14''
108,	Florian Vermeersch, Lotto - Soudal	, +4h 28' 53''
109,	Danny van Poppel, BORA - HANSGROHE	, +4h 30' 28''
110,	Edward Planckaert, Alpecin - Deceuninck	, +4h 33' 44''
111,	Adrien Petit, Intermarché - Wanty - Gobert Matériaux	, +4h 35' 05''
112,	Mikkel Honoré, Quick-Step - Alpha Vinyl Team	, +4h 36' 55''
113,	Cyril Lemoine, B&B Hotels - KTM	, +4h 37' 29''
114,	Dmitriy Gruzdev, ASTANA PRO	, +4h 37' 36''
115,	Maciej Bodnar, TotalEnergies	, +4h 39' 32''
116,	Peter Sagan, TotalEnergies	, +4h 39' 48''
117,	Dylan Groenewegen, Team BikeExchange	, +4h 40' 55''
118,	Kamil Gradek, Bahrain Victorious	, +4h 42' 46''
119,	Nils Eekhoff, Team DSM	, +4h 42' 46''
120,	Yves Lampaert, Quick-Step - Alpha Vinyl Team	, +4h 46' 14''
121,	Brent Van Moer, Lotto - Soudal	, +4h 49' 07''
122,	Jack Bauer, Team BikeExchange	, +4h 51' 05''
123,	Guillaume Van Keirsbulck, Alpecin - Deceuninck	, +4h 54' 12''
124,	Mikkel Bjerg, UAE Team Emirates	, +5h 00' 13''
125,	Taco van der Hoorn, Intermarché - Wanty - Gobert Matériaux	, +5h 02' 34''
126,	Jérémy Lecroq, B&B Hotels - KTM	, +5h 13' 49''
127,	Marc Hirschi, UAE Team Emirates	, +5h 15' 09''
128,	Christopher Juul-Jensen, Team BikeExchange	, +5h 15' 26''
129,	Anthony Turgis, TotalEnergies	, +5h 20' 17''
130,	Fabio Jakobsen, Quick-Step - Alpha Vinyl Team	, +5h 23' 38''
131,	Frederik Frison, Lotto - Soudal	, +5h 30' 19''
132,	Reinardt Janse van Rensburg, Lotto - Soudal	, +5h 31' 25''
133,	Amund Grøndahl Jansen, Team BikeExchange	, +5h 31' 27''
134,	Albert Torres, MOVISTAR	, +5h 36' 33''
135,	Caleb Ewan, Lotto - Soudal	, +5h 40' 42''
 ,	John Smith, John Smith's team,
